order_id,customer_id,order_date,ship_date,return_date,ship_mode,total_amount
118,545,2025-11-03,2025-11-07,2025-11-22,Same Day,3421.42
119,282,2025-11-24,2025-11-27,2025-12-23,Same Day,879.98
120,691,2024-10-29,2024-11-05,,Standard,791.14
121,110,2025-11-30,2025-12-01,,Standard,1901.87
122,197,2025-12-07,2025-12-12,,Express,1078.92
123,274,2025-11-16,2025-11-20,2025-12-01,Express,250.75
124,579,2024-11-15,2024-11-21,,Same Day,3949.07
125,848,2024-07-31,2024-08-06,,Same Day,930.19
126,778,2023-04-19,2023-04-20,,Express,526.9
127,566,2025-01-01,2025-01-02,,Same Day,863.7
128,176,2025-01-21,2025-01-25,,Same Day,2261.89
129,804,2025-01-29,2025-02-03,,Standard,2667.0
130,917,2025-07-22,2025-07-23,,Same Day,931.29
131,909,2025-09-06,2025-09-10,,Standard,2182.23
132,701,2024-09-10,2024-09-15,,Standard,189.57
133,184,2024-11-08,2024-11-09,,Same Day,730.61
134,148,2025-10-27,2025-11-03,,Express,499.16
135,952,2025-09-15,2025-09-18,,Standard,1913.89
136,581,2025-09-22,2025-09-28,,Express,511.26
137,394,2024-07-26,2024-08-02,,Same Day,524.24
138,81,2025-10-19,2025-10-25,,Standard,629.24
139,101,2025-04-13,2025-04-15,,Express,2697.0
140,620,2025-11-18,2025-11-23,,Express,135.97
141,993,2025-09-10,2025-09-11,,Express,576.23
142,503,2025-01-10,2025-01-13,,Express,286.75
143,443,2024-09-14,2024-09-20,,Express,3019.38
144,88,2024-09-17,2024-09-24,,Standard,876.73
145,85,2025-06-13,2025-06-15,,Same Day,1829.64
146,158,2025-07-17,2025-07-21,,Standard,1079.08
147,94,2025-09-08,2025-09-11,,Express,472.84
148,105,2024-09-06,2024-09-07,,Express,882.43
149,571,2025-01-12,2025-01-17,,Standard,3028.3
150,92,2025-03-09,2025-03-14,2025-03-31,Express,289.0
151,885,2025-08-02,2025-08-03,,Express,827.02
152,798,2025-02-22,2025-02-28,,Standard,1213.85
153,586,2025-10-28,2025-10-30,,Standard,1631.5
154,143,2024-12-15,2024-12-18,,Standard,291.17
155,65,2025-06-10,2025-06-14,,Express,1768.07
156,496,2025-09-14,2025-09-15,,Standard,644.6
157,739,2025-08-18,2025-08-22,,Standard,954.12
158,469,2024-04-19,2024-04-21,,Express,643.91
159,341,2025-08-18,2025-08-22,,Express,2450.93
160,451,2025-05-28,2025-06-01,,Same Day,356.83
161,998,2025-09-05,2025-09-07,,Same Day,358.91
162,971,2024-09-30,2024-10-04,,Express,831.59
163,992,2025-02-04,2025-02-07,,Same Day,2354.08
164,503,2025-07-07,2025-07-14,,Express,498.07
165,288,2024-11-17,2024-11-20,2024-12-08,Standard,2053.13
166,607,2025-03-24,2025-03-26,,Same Day,320.25
167,28,2025-11-26,2025-11-30,,Standard,366.82
168,449,2025-09-04,2025-09-07,,Standard,1025.46
169,839,2025-06-19,2025-06-25,,Same Day,83.35
170,311,2025-10-01,2025-10-04,,Same Day,1542.52
171,434,2025-06-25,2025-06-29,2025-07-17,Express,756.98
172,597,2025-04-15,2025-04-20,,Same Day,1236.68
173,429,2025-05-27,2025-05-28,,Express,557.71
174,719,2025-10-02,2025-10-07,,Standard,72.16
175,112,2025-08-30,2025-09-05,,Standard,1039.83
176,663,2025-09-28,2025-09-29,,Same Day,413.67
177,694,2025-08-05,2025-08-12,,Express,3267.98
178,109,2025-12-03,2025-12-04,,Same Day,1185.23
179,765,2025-04-15,2025-04-20,,Same Day,1045.54
180,227,2024-11-23,2024-11-26,,Same Day,858.47
181,603,2025-09-02,2025-09-07,,Standard,1878.07
182,495,2025-08-13,2025-08-16,,Standard,803.23
183,119,2025-09-19,2025-09-25,,Express,635.36
184,352,2025-11-08,2025-11-15,,Express,1274.75
185,357,2025-09-19,2025-09-20,,Same Day,862.47
186,464,2025-05-02,2025-05-03,,Same Day,2304.92
187,118,2023-02-04,2023-02-11,,Standard,1178.04
188,694,2025-04-07,2025-04-13,,Standard,524.82
189,566,2024-02-12,2024-02-15,,Express,206.7
190,238,2025-07-23,2025-07-29,,Same Day,595.71
191,674,2025-10-28,2025-11-01,2025-11-19,Standard,1378.23
192,461,2025-11-09,2025-11-13,,Same Day,1642.77
193,220,2025-11-07,2025-11-10,,Standard,1031.02
194,592,2023-10-14,2023-10-21,,Standard,533.04
195,375,2025-08-07,2025-08-09,,Express,826.65
196,687,2024-12-15,2024-12-20,,Express,893.47
197,612,2025-09-06,2025-09-11,,Standard,1675.91
198,357,2025-07-18,2025-07-25,,Standard,526.71
199,834,2025-12-09,2025-12-15,,Same Day,817.12
200,605,2025-05-30,2025-06-05,,Standard,713.08
201,245,2025-08-25,2025-08-26,,Same Day,481.3
202,145,2025-08-06,2025-08-10,,Standard,1466.45
203,589,2025-06-24,2025-06-28,,Same Day,1242.82
204,551,2025-11-30,2025-12-06,,Standard,1904.18
205,569,2025-11-29,2025-12-03,,Standard,303.02
206,323,2025-07-17,2025-07-21,,Express,2841.61
207,975,2023-10-05,2023-10-09,,Express,1210.94
208,987,2025-09-30,2025-10-05,,Express,1962.53
209,702,2025-09-26,2025-09-30,,Express,1689.58
210,501,2025-03-11,2025-03-12,,Standard,1959.29
211,300,2024-11-02,2024-11-05,,Express,1674.51
212,173,2025-08-29,2025-09-03,,Express,918.72
213,563,2023-09-21,2023-09-26,2023-10-18,Same Day,1062.77
214,844,2024-10-06,2024-10-11,,Standard,1723.65
215,779,2025-05-04,2025-05-08,,Express,1232.59
216,105,2025-01-02,2025-01-05,,Standard,998.13
217,461,2025-05-24,2025-05-27,,Standard,1547.57
218,450,2025-12-02,2025-12-03,,Standard,1800.03
219,215,2025-08-14,2025-08-20,,Express,590.43
220,882,2025-06-30,2025-07-05,,Standard,156.86
221,631,2023-10-16,2023-10-23,,Standard,760.88
222,825,2025-06-30,2025-07-05,,Express,2485.35
223,612,2025-11-22,2025-11-24,,Same Day,630.76
224,300,2025-03-14,2025-03-19,,Same Day,823.66
225,922,2025-12-08,2025-12-15,2026-01-04,Express,1565.19
226,941,2023-05-22,2023-05-25,,Standard,734.01
227,719,2024-08-14,2024-08-16,,Express,186.14
228,849,2025-07-09,2025-07-16,,Express,851.29
229,502,2025-10-06,2025-10-11,,Same Day,2631.89
230,425,2025-07-07,2025-07-11,2025-08-04,Standard,3091.92
231,413,2025-08-21,2025-08-27,,Express,505.91
232,466,2025-03-19,2025-03-22,,Same Day,677.92
233,96,2025-08-30,2025-09-05,,Express,38.79
234,871,2024-08-09,2024-08-16,,Standard,1829.36
235,992,2025-04-01,2025-04-08,,Express,3716.92
236,331,2024-07-16,2024-07-19,,Standard,2374.03
237,580,2025-03-20,2025-03-27,,Same Day,227.43
238,781,2023-09-29,2023-09-30,2023-10-27,Express,1813.17
239,17,2025-07-11,2025-07-18,,Express,2170.99
240,1,2025-10-21,2025-10-23,,Standard,786.28
241,904,2025-11-24,2025-11-27,,Express,2597.38
242,96,2025-05-22,2025-05-25,2025-06-15,Same Day,39.81
243,170,2025-02-25,2025-03-01,,Same Day,2789.81
244,717,2025-03-23,2025-03-27,,Same Day,550.4
245,98,2025-10-22,2025-10-24,,Standard,3423.19
246,608,2025-07-01,2025-07-06,,Standard,136.63
247,9,2025-10-24,2025-10-27,,Express,849.39
248,711,2025-07-12,2025-07-16,2025-07-27,Standard,1034.05
249,749,2025-06-14,2025-06-15,2025-06-28,Express,1581.6
250,141,2024-06-24,2024-07-01,,Standard,2025.68
251,657,2024-09-11,2024-09-12,,Standard,589.12
252,625,2025-12-03,2025-12-05,,Same Day,437.0
253,219,2025-07-30,2025-08-05,,Express,2253.43
254,631,2025-04-29,2025-05-03,,Standard,1687.27
255,919,2025-09-16,2025-09-18,,Same Day,96.7
256,748,2024-11-01,2024-11-04,,Express,1354.14
257,811,2025-11-28,2025-11-30,,Standard,631.24
258,255,2024-10-22,2024-10-27,,Same Day,2400.42
259,292,2025-09-20,2025-09-21,,Same Day,375.01
260,897,2025-09-30,2025-10-02,,Same Day,2163.76
261,194,2025-06-14,2025-06-17,,Standard,208.2
262,507,2025-10-18,2025-10-19,,Same Day,1582.88
263,609,2023-10-04,2023-10-09,,Standard,1965.21
264,370,2025-11-12,2025-11-14,,Same Day,2302.63
265,431,2025-04-21,2025-04-26,,Express,611.48
266,978,2025-02-15,2025-02-16,,Standard,3235.54
267,269,2024-04-24,2024-04-25,,Express,425.02
268,519,2025-08-07,2025-08-13,,Express,1802.65
269,434,2025-03-27,2025-03-31,2025-04-16,Same Day,1168.98
270,631,2023-10-30,2023-11-02,2023-11-04,Same Day,949.79
271,944,2023-11-02,2023-11-09,,Express,589.12
272,401,2025-01-23,2025-01-29,,Same Day,3105.04
273,698,2025-08-12,2025-08-13,,Express,1370.34
274,748,2024-06-05,2024-06-06,,Express,1679.33
275,119,2025-03-10,2025-03-15,,Express,823.42
276,683,2025-08-17,2025-08-18,2025-08-24,Same Day,729.74
277,12,2024-08-22,2024-08-26,,Same Day,515.34
278,530,2025-08-30,2025-09-01,,Same Day,1805.16
279,800,2025-05-11,2025-05-17,,Standard,3223.14
280,344,2025-10-01,2025-10-04,,Express,629.27
281,730,2025-10-31,2025-11-06,2025-11-17,Same Day,869.72
282,369,2024-04-23,2024-04-27,,Standard,1161.53
283,377,2025-10-23,2025-10-26,,Same Day,1443.31
284,691,2025-08-25,2025-08-26,,Same Day,832.42
285,3,2023-03-19,2023-03-26,,Standard,1382.92
286,48,2025-07-28,2025-07-31,,Standard,2395.61
287,184,2023-04-16,2023-04-21,,Same Day,1881.74
288,759,2025-06-25,2025-06-27,,Express,656.95
289,938,2024-11-10,2024-11-13,,Same Day,2531.58
290,382,2024-08-13,2024-08-18,,Standard,644.39
291,184,2024-05-05,2024-05-12,,Standard,942.88
292,977,2025-04-05,2025-04-06,,Express,1977.63
293,793,2025-03-26,2025-03-29,2025-04-12,Standard,1117.56
294,378,2024-08-03,2024-08-06,,Express,2544.14
295,758,2025-04-18,2025-04-20,,Same Day,2346.58
296,996,2025-04-15,2025-04-22,,Same Day,1436.51
297,923,2024-06-11,2024-06-13,2024-06-27,Standard,288.63
298,239,2025-02-25,2025-02-28,,Same Day,344.09
299,899,2024-12-18,2024-12-21,2025-01-11,Express,770.41
300,870,2025-11-20,2025-11-26,,Standard,610.08
301,543,2023-11-12,2023-11-16,,Standard,1583.93
302,996,2024-10-17,2024-10-23,,Standard,728.5
303,944,2023-12-01,2023-12-08,,Same Day,1420.86
304,918,2025-07-16,2025-07-20,,Standard,591.25
305,595,2023-12-13,2023-12-18,,Express,519.9
306,77,2023-04-16,2023-04-20,,Standard,1022.81
307,243,2024-06-27,2024-06-30,,Express,1556.1
308,718,2025-09-11,2025-09-14,,Standard,70.27
309,77,2024-01-29,2024-01-31,,Same Day,1690.57
310,112,2025-08-06,2025-08-07,,Express,652.29
311,322,2024-04-25,2024-04-26,,Standard,1367.97
312,463,2024-08-09,2024-08-13,,Standard,629.14
313,93,2024-05-10,2024-05-17,,Same Day,828.59
314,714,2025-04-12,2025-04-13,,Express,3606.14
315,152,2025-04-25,2025-05-01,,Express,1286.33
316,406,2025-09-05,2025-09-06,,Express,1379.29
317,840,2025-10-08,2025-10-09,,Express,347.89
318,570,2025-10-11,2025-10-13,2025-10-17,Standard,409.11
319,125,2024-02-20,2024-02-21,,Standard,928.24
320,134,2025-02-14,2025-02-21,,Same Day,1676.01
321,646,2025-07-28,2025-07-29,,Express,285.98
322,940,2025-11-21,2025-11-22,2025-11-26,Standard,3253.49
323,925,2025-10-05,2025-10-09,,Standard,717.06
324,927,2024-11-02,2024-11-03,2024-11-19,Standard,512.73
325,173,2025-10-27,2025-10-31,,Express,2470.38
326,509,2025-02-18,2025-02-22,,Standard,419.97
327,363,2023-09-29,2023-10-01,,Express,1022.6
328,905,2025-06-22,2025-06-23,,Same Day,2160.57
329,252,2025-08-12,2025-08-16,,Same Day,242.43
330,491,2023-12-06,2023-12-07,,Standard,542.39
331,430,2024-11-01,2024-11-07,,Same Day,658.55
332,256,2025-11-08,2025-11-15,,Standard,531.22
333,392,2025-11-16,2025-11-22,,Same Day,1307.75
334,801,2024-12-16,2024-12-19,,Same Day,243.38
335,330,2025-03-22,2025-03-25,,Express,1367.54
336,612,2025-06-12,2025-06-13,,Express,2716.28
337,60,2025-08-22,2025-08-27,,Same Day,1333.92
338,239,2024-01-31,2024-02-01,,Standard,3437.21
339,273,2025-11-19,2025-11-26,,Same Day,2812.54
340,58,2025-09-23,2025-09-25,,Express,2439.72
341,364,2025-11-22,2025-11-29,,Standard,544.75
342,181,2024-08-18,2024-08-23,,Same Day,620.36
343,715,2025-03-29,2025-04-03,2025-04-23,Express,841.9
344,971,2025-10-11,2025-10-16,,Standard,1383.35
345,857,2025-10-10,2025-10-14,,Standard,826.6
346,503,2024-10-05,2024-10-06,2024-10-27,Standard,247.84
347,21,2024-08-17,2024-08-21,2024-09-08,Standard,1166.37
348,826,2023-07-26,2023-07-29,,Express,347.96
349,61,2024-09-11,2024-09-13,,Standard,3013.0
350,793,2024-09-02,2024-09-09,,Express,678.74
351,984,2024-05-16,2024-05-19,,Same Day,876.54
352,406,2025-10-13,2025-10-14,,Express,327.6
353,140,2025-08-20,2025-08-26,,Same Day,1130.31
354,984,2025-07-14,2025-07-20,,Same Day,589.95
355,992,2025-06-08,2025-06-14,,Same Day,572.61
356,806,2024-03-07,2024-03-09,,Standard,1962.62
357,388,2025-11-05,2025-11-11,,Standard,1130.65
358,182,2025-07-25,2025-07-26,,Same Day,161.28
359,401,2025-10-21,2025-10-28,,Standard,442.82
360,187,2025-07-03,2025-07-06,,Same Day,3809.29
361,227,2025-06-09,2025-06-14,2025-06-27,Standard,2391.96
362,340,2025-10-28,2025-10-29,,Express,249.94
363,172,2025-04-02,2025-04-09,,Same Day,852.79
364,747,2025-10-22,2025-10-26,2025-10-31,Standard,48.2
365,710,2024-11-03,2024-11-06,,Standard,1270.23
366,738,2023-11-29,2023-11-30,,Same Day,1658.71
367,430,2025-11-30,2025-12-02,,Express,1310.39
368,903,2025-04-09,2025-04-12,,Standard,1920.52
369,849,2025-11-05,2025-11-12,,Same Day,1176.39
370,777,2025-11-03,2025-11-05,,Standard,657.55
371,302,2023-10-07,2023-10-10,,Standard,672.84
372,76,2025-07-10,2025-07-12,,Standard,3397.63
373,750,2024-09-17,2024-09-22,,Standard,565.86
374,347,2025-10-15,2025-10-21,2025-11-07,Standard,115.22
375,622,2025-05-11,2025-05-13,2025-05-24,Standard,1160.35
376,998,2025-05-24,2025-05-28,,Same Day,1334.3
377,948,2025-07-09,2025-07-14,,Express,3041.39
378,305,2024-11-17,2024-11-18,2024-12-08,Same Day,254.79
379,861,2024-12-18,2024-12-20,2024-12-21,Express,498.79
380,90,2025-10-27,2025-11-03,,Same Day,1696.68
381,492,2025-01-31,2025-02-01,2025-02-08,Same Day,397.92
382,299,2023-08-21,2023-08-25,,Express,518.35
383,804,2025-03-04,2025-03-08,,Same Day,1042.25
384,272,2024-12-28,2025-01-03,,Standard,694.66
385,380,2025-11-10,2025-11-14,,Express,3894.47
386,46,2025-09-27,2025-10-01,,Standard,1057.98
387,858,2025-08-09,2025-08-14,2025-09-05,Same Day,935.39
388,684,2025-11-20,2025-11-21,,Same Day,1484.2
389,424,2025-12-01,2025-12-06,,Standard,1382.4
390,861,2024-09-03,2024-09-10,,Same Day,1771.96
391,704,2025-06-16,2025-06-21,,Express,685.08
392,307,2023-07-21,2023-07-25,,Same Day,480.97
393,36,2025-06-15,2025-06-20,,Same Day,2135.72
394,694,2025-11-26,2025-11-28,,Express,250.73
395,178,2024-05-12,2024-05-14,,Standard,1102.4
396,44,2024-05-03,2024-05-04,,Express,300.11
397,207,2025-07-03,2025-07-05,,Express,1714.84
398,328,2025-10-10,2025-10-11,,Express,1277.91
399,566,2024-07-31,2024-08-07,,Express,1468.37
400,940,2025-11-28,2025-11-29,,Same Day,1023.53
401,602,2025-06-27,2025-07-04,,Express,925.86
402,154,2023-09-01,2023-09-06,,Standard,1864.86
403,948,2023-10-09,2023-10-14,,Express,938.93
404,889,2025-01-11,2025-01-14,,Express,785.77
405,393,2025-10-24,2025-10-29,,Standard,110.49
406,177,2025-04-24,2025-04-28,,Same Day,485.08
407,698,2025-10-03,2025-10-07,2025-10-16,Same Day,244.8
408,244,2023-07-28,2023-08-03,,Express,975.98
409,919,2025-10-21,2025-10-22,,Express,506.45
410,319,2025-01-14,2025-01-21,,Same Day,570.08
411,702,2023-07-13,2023-07-20,,Express,1720.26
412,998,2025-10-13,2025-10-17,,Express,1503.37
413,276,2025-08-14,2025-08-18,,Standard,809.04
414,193,2025-09-22,2025-09-24,,Express,1957.07
415,759,2025-11-06,2025-11-13,,Express,1459.85
416,841,2023-06-02,2023-06-07,,Standard,895.26
417,319,2025-08-22,2025-08-27,,Same Day,1148.62
418,901,2025-07-16,2025-07-17,,Standard,2038.32
419,858,2025-04-23,2025-04-25,2025-04-27,Express,435.82
420,722,2025-06-17,2025-06-20,,Express,588.35
421,518,2025-09-15,2025-09-21,,Same Day,1210.17
422,32,2025-02-18,2025-02-21,,Express,1689.3
423,182,2024-11-06,2024-11-11,,Express,387.67
424,168,2025-08-29,2025-09-04,,Standard,2389.27
425,292,2023-11-11,2023-11-15,2023-12-11,Same Day,1295.69
426,799,2025-03-22,2025-03-29,,Standard,2783.66
427,694,2025-04-28,2025-05-01,,Same Day,1815.5
428,21,2025-07-29,2025-08-05,,Same Day,2035.86
429,10,2025-10-17,2025-10-19,,Same Day,695.44
430,821,2023-06-14,2023-06-16,,Express,2842.89
431,730,2024-12-26,2024-12-30,,Express,1180.55
432,471,2025-01-24,2025-01-26,,Same Day,112.42
433,534,2025-11-19,2025-11-23,,Standard,343.63
434,524,2025-11-28,2025-12-05,,Same Day,1562.37
435,663,2025-09-19,2025-09-24,,Same Day,972.4
436,111,2025-11-14,2025-11-15,,Express,1714.22
437,656,2025-02-22,2025-03-01,,Same Day,404.93
438,729,2025-11-18,2025-11-20,,Standard,108.0
439,922,2025-12-03,2025-12-10,,Same Day,1626.78
440,414,2025-01-22,2025-01-25,,Same Day,226.65
441,27,2025-05-03,2025-05-07,,Express,1793.44
442,929,2024-08-23,2024-08-27,,Standard,829.41
443,598,2025-12-08,2025-12-13,,Express,1351.18
444,744,2025-05-05,2025-05-07,,Same Day,2337.12
445,804,2025-04-13,2025-04-19,,Express,302.38
446,866,2025-11-16,2025-11-23,,Same Day,438.83
447,186,2024-06-13,2024-06-14,,Same Day,190.91
448,265,2025-08-02,2025-08-09,,Standard,645.65
449,970,2025-07-17,2025-07-23,2025-07-31,Standard,533.19
450,763,2025-05-26,2025-05-30,,Express,509.94
451,381,2024-07-22,2024-07-27,,Standard,1141.76
452,482,2025-09-18,2025-09-25,,Same Day,1049.86
453,967,2025-03-25,2025-03-26,,Standard,1061.39
454,513,2025-08-23,2025-08-30,,Same Day,77.62
455,306,2025-05-24,2025-05-25,,Standard,635.71
456,141,2023-12-21,2023-12-24,,Same Day,2391.75
457,915,2025-09-01,2025-09-03,,Same Day,485.59
458,185,2024-08-02,2024-08-06,,Standard,122.9
459,321,2025-08-06,2025-08-07,2025-08-17,Standard,1112.65
460,780,2024-06-20,2024-06-25,,Express,941.77
461,805,2025-11-16,2025-11-23,2025-12-08,Express,2294.83
462,649,2025-04-10,2025-04-14,,Express,340.52
463,393,2023-02-12,2023-02-13,,Same Day,527.6
464,383,2025-02-04,2025-02-07,,Same Day,85.19
465,196,2025-09-02,2025-09-08,2025-09-28,Standard,4135.9
466,232,2025-02-20,2025-02-23,,Express,1284.26
467,516,2025-08-04,2025-08-06,2025-08-08,Express,3145.03
468,972,2024-09-07,2024-09-11,,Same Day,543.42
469,537,2024-06-19,2024-06-23,,Standard,568.08
470,351,2024-12-26,2024-12-29,,Standard,2232.81
471,971,2025-04-26,2025-04-27,,Same Day,41.56
472,135,2024-11-09,2024-11-15,2024-11-28,Standard,1305.88
473,127,2024-10-06,2024-10-12,,Standard,146.1
474,385,2025-11-30,2025-12-03,,Same Day,441.05
475,50,2025-11-01,2025-11-02,,Same Day,208.78
476,857,2023-07-24,2023-07-25,,Express,2083.24
477,455,2025-03-27,2025-03-28,,Express,716.26
478,719,2024-09-04,2024-09-06,,Same Day,2115.03
479,10,2024-10-28,2024-11-01,,Same Day,1595.1
480,533,2025-09-22,2025-09-27,,Standard,669.4
481,429,2025-10-21,2025-10-22,,Same Day,486.45
482,121,2025-11-23,2025-11-24,,Express,358.96
483,204,2025-10-04,2025-10-06,,Same Day,456.55
484,997,2025-10-21,2025-10-24,,Express,341.96
485,165,2024-01-28,2024-02-02,,Standard,1574.85
486,705,2025-02-14,2025-02-17,,Standard,445.42
487,688,2024-09-22,2024-09-23,,Same Day,2590.22
488,506,2025-08-18,2025-08-19,,Standard,2296.13
489,741,2024-08-22,2024-08-25,,Express,697.68
490,304,2024-09-26,2024-09-30,2024-10-25,Standard,192.89
491,896,2023-06-07,2023-06-14,,Same Day,2191.19
492,321,2025-04-22,2025-04-28,2025-05-22,Standard,1027.78
493,10,2023-11-30,2023-12-06,,Express,3121.69
